sym,entry_time,exit_time,entry,exit,shares,gross,net,bars,reason
HOOD,2026-01-05 09:19:00+00:00,2026-01-05 13:00:00+00:00,117.28,117.27,810,-8.100000000004144,-203.63601690000417,120,time_stop
COIN,2026-01-06 00:06:00+00:00,2026-01-06 12:03:00+00:00,255.54,255.54,371,0.0,-195.005028904,110,time_stop
NVDA,2026-01-07 00:05:00+00:00,2026-01-07 09:01:00+00:00,188.2887,187.38,502,-456.16740000000516,-650.1624335097251,56,hard_stop
SMCI,2026-01-08 00:11:00+00:00,2026-01-08 09:21:00+00:00,30.05,29.87,3128,-563.039999999999,-756.718803327999,31,hard_stop
TSLA,2026-01-09 00:12:00+00:00,2026-01-09 13:59:00+00:00,435.63,437.83,214,470.79999999999757,278.61212376799756,331,eod_flatten
SOFI,2026-01-10 00:05:00+00:00,2026-01-12 09:00:00+00:00,27.4299,27.4294,3410,-1.7049999999960264,-195.10788492139605,37,eod_close
MSTR,2026-01-13 00:36:00+00:00,2026-01-13 13:59:00+00:00,161.9,163.58,576,967.6800000000039,774.800441856004,239,eod_flatten
RIOT,2026-01-14 00:06:00+00:00,2026-01-14 09:35:00+00:00,17.15,17.01,5486,-768.0399999999836,-962.4728809279836,49,hard_stop
SMCI,2026-01-15 00:20:00+00:00,2026-01-15 09:04:00+00:00,28.27,28.69,3296,1384.3200000000056,1190.2663915520056,35,profit_target
MSTR,2026-01-16 00:07:00+00:00,2026-01-16 11:04:00+00:00,172.31,172.05,547,-142.21999999999503,-336.0030687759951,134,time_stop
SMCI,2026-01-17 00:05:00+00:00,2026-01-20 09:00:00+00:00,32.87,32.9,2859,85.77000000000325,-108.44303075399674,53,eod_close
MSTR,2026-01-21 00:08:00+00:00,2026-01-21 12:12:00+00:00,158.942,158.98,558,21.20399999999023,-161.31346523280976,158,trailing_stop
MARA,2026-01-22 00:05:00+00:00,2026-01-22 11:15:00+00:00,10.64,10.64,8810,0.0,-195.61357503999997,103,time_stop
HOOD,2026-01-23 00:05:00+00:00,2026-01-23 09:47:00+00:00,106.33,105.55,879,-685.620000000001,-877.331890056001,49,hard_stop
NVDA,2026-01-24 00:33:00+00:00,2026-01-26 09:00:00+00:00,187.28,187.25,495,-14.850000000000563,-205.56059733000058,25,eod_close
AMD,2026-01-27 00:20:00+00:00,2026-01-27 10:07:00+00:00,250.9999,254.3,368,1214.4368000000054,1023.1948407030453,58,profit_target
SMCI,2026-01-28 00:05:00+00:00,2026-01-28 10:43:00+00:00,31.39,31.91,2978,1548.5599999999988,1353.8233982799989,72,profit_target
MSTR,2026-01-30 00:05:00+00:00,2026-01-30 09:00:00+00:00,143.9,140.11,637,-2414.229999999995,-2600.385273485995,50,hard_stop
COIN,2026-01-31 00:56:00+00:00,2026-02-02 09:00:00+00:00,194.49,194.35,474,-66.360000000007,-255.95135044800702,3,eod_close
PLTR,2026-02-03 00:05:00+00:00,2026-02-03 09:00:00+00:00,157.6576,165.0,583,4280.619199999999,4087.0868224137594,55,profit_target
SOFI,2026-02-04 00:05:00+00:00,2026-02-04 13:19:00+00:00,21.6807,21.66,4425,-91.59750000000662,-290.1807537105066,186,time_stop
MSTR,2026-02-05 00:07:00+00:00,2026-02-05 09:00:00+00:00,127.75,124.8,577,-1702.1500000000017,-1852.1139675300017,47,hard_stop
SOFI,2026-02-06 00:33:00+00:00,2026-02-06 09:08:00+00:00,18.69,19.11,4865,2043.299999999991,1852.675483399991,35,profit_target
MSTR,2026-02-07 00:05:00+00:00,2026-02-09 09:00:00+00:00,136.09,135.15,528,-496.3199999999988,-643.6913852159988,54,eod_close
SOFI,2026-02-09 09:05:00+00:00,2026-02-09 10:32:00+00:00,21.88,21.65,4344,-999.1200000000018,-1194.9133500960017,76,hard_stop
AMD,2026-02-10 00:06:00+00:00,2026-02-10 13:00:00+00:00,215.35,214.9,432,-194.3999999999951,-385.57855439999514,173,trailing_stop
MSTR,2026-02-11 00:05:00+00:00,2026-02-11 09:00:00+00:00,132.78,129.25,499,-1761.4700000000005,-1896.0235705660004,55,hard_stop
MSTR,2026-02-12 00:05:00+00:00,2026-02-12 13:04:00+00:00,126.0,125.56,481,-211.6399999999989,-336.1638620079989,252,trailing_stop
COIN,2026-02-13 00:05:00+00:00,2026-02-13 09:15:00+00:00,143.0,147.45,458,2038.099999999995,1901.2237184199948,67,profit_target
TSLA,2026-02-14 00:07:00+00:00,2026-02-17 09:00:00+00:00,417.1183,417.44,223,71.73910000000473,-119.61519762501528,46,eod_close
PLTR,2026-02-17 09:38:00+00:00,2026-02-17 11:10:00+00:00,129.97,128.45,655,-995.6000000000067,-1169.7881297800068,65,hard_stop
PLTR,2026-02-18 00:05:00+00:00,2026-02-18 10:46:00+00:00,132.63,135.72,660,2039.4000000000024,1857.1461942000024,93,profit_target
SMCI,2026-02-19 00:07:00+00:00,2026-02-19 12:01:00+00:00,29.77,29.67,2836,-283.59999999999394,-457.79968915199396,90,time_stop
MSTR,2026-02-20 00:08:00+00:00,2026-02-20 09:57:00+00:00,128.8,132.56,525,1973.9999999999952,1832.7971507999953,100,profit_target
MARA,2026-02-21 00:31:00+00:00,2026-02-23 09:00:00+00:00,8.0,7.9987,7873,-10.234899999997126,-142.3081269697771,15,eod_close
PLTR,2026-02-23 09:06:00+00:00,2026-02-23 12:04:00+00:00,133.73,133.26,710,-333.6999999999992,-528.7684686199991,90,time_stop
PLTR,2026-02-24 00:06:00+00:00,2026-02-24 09:32:00+00:00,130.5,129.35,723,-831.4500000000041,-1024.7844150900041,68,hard_stop
MSTR,2026-02-25 00:11:00+00:00,2026-02-25 09:09:00+00:00,124.32,127.74,602,2058.840000000001,1902.6816406640012,40,profit_target
MSTR,2026-02-26 00:05:00+00:00,2026-02-26 11:23:00+00:00,133.6,134.22,713,442.06000000000324,245.55905665200322,152,trailing_stop
TSLA,2026-02-28 00:05:00+00:00,2026-03-02 09:00:00+00:00,401.82,401.8,237,-4.739999999995689,-200.5713547319957,50,eod_close
MSTR,2026-03-02 09:07:00+00:00,2026-03-02 09:58:00+00:00,129.02,128.96,738,-44.28000000000168,-240.20707687200172,38,trailing_stop
COIN,2026-03-03 00:05:00+00:00,2026-03-03 09:00:00+00:00,185.17,176.47,497,-4323.899999999994,-4508.796719223994,39,hard_stop
MSTR,2026-03-04 00:18:00+00:00,2026-03-04 00:59:00+00:00,132.98,132.5094,682,-320.9491999999934,-507.2729676282334,26,backtest_end
