sym,dir,entry_time,exit_time,entry,exit,shares,gross,net,bars,rvol,reason
NVDA,short,2026-01-12 09:24:00+00:00,2026-01-12 13:47:00+00:00,182.59,183.4684,104,-91.35359999999991,-130.5165496460799,254,2.4005994971959,stop_loss
SMCI,long,2026-01-14 00:08:00+00:00,2026-01-14 00:42:00+00:00,28.67,28.6,661,-46.27000000000019,-85.39730406600017,31,3.137985002517726,stop_loss
AMD,short,2026-01-20 09:05:00+00:00,2026-01-20 10:48:00+00:00,223.32,226.29,84,-249.4799999999999,-288.32505727199987,94,6.193942479002291,stop_loss
HOOD,short,2026-01-20 09:07:00+00:00,2026-01-20 12:02:00+00:00,103.47,104.9,183,-261.69000000000125,-300.9425275380013,113,4.123794399039393,stop_loss
SMCI,short,2026-01-20 09:05:00+00:00,2026-01-20 13:04:00+00:00,31.37,31.7,604,-199.31999999999897,-238.673828983999,187,5.6985267915344835,stop_loss
SOFI,short,2026-01-20 09:05:00+00:00,2026-01-20 14:34:00+00:00,25.17,25.7755,753,-455.94149999999945,-495.6199200296994,280,5.364646366378052,stop_loss
NVDA,short,2026-01-20 09:05:00+00:00,2026-01-20 14:59:00+00:00,180.9,179.95,104,98.80000000000177,60.19378248000178,352,7.328513593274163,eod_win
COIN,short,2026-02-02 09:05:00+00:00,2026-02-02 12:16:00+00:00,185.16,187.5,101,-236.34000000000034,-275.05854674800037,145,3.579228855721393,stop_loss
MARA,short,2026-02-02 09:13:00+00:00,2026-02-02 12:31:00+00:00,8.8,9.07,2127,-574.289999999999,-614.062317821999,149,3.373315292497484,stop_loss
PLTR,long,2026-02-03 00:05:00+00:00,2026-02-03 13:59:00+00:00,157.6576,163.6102,117,696.4541999999988,657.7820677537187,353,2.3575789095249897,eod_win
ENPH,long,2026-02-04 00:05:00+00:00,2026-02-04 00:18:00+00:00,45.36,44.5931,411,-315.1958999999999,-353.33086222997986,13,7.189138325043689,stop_loss
SMCI,long,2026-02-04 00:13:00+00:00,2026-02-04 00:27:00+00:00,31.9,31.65,585,-146.25,-184.65448364999997,14,7.082236139472492,stop_loss
ENPH,long,2026-02-04 00:30:00+00:00,2026-02-04 09:03:00+00:00,45.2,44.58,410,-254.20000000000186,-292.1692324400019,31,7.189138325043689,stop_loss
AMD,long,2026-02-04 00:07:00+00:00,2026-02-04 11:12:00+00:00,222.96,221.84,83,-92.96000000000038,-130.9322875200004,178,3.2739697391279274,stop_loss
SMCI,long,2026-02-04 00:41:00+00:00,2026-02-04 13:59:00+00:00,31.9002,32.43,582,308.34359999999884,269.66936269607885,314,7.082236139472492,eod_win
HOOD,short,2026-02-06 00:05:00+00:00,2026-02-06 00:31:00+00:00,69.55,70.2,266,-172.9000000000015,-211.1952353000015,26,9.814776344446306,stop_loss
MSTR,short,2026-02-06 00:06:00+00:00,2026-02-06 00:34:00+00:00,103.0,105.0,180,-360.0,-398.540592,28,5.775101901800722,stop_loss
COIN,short,2026-02-06 00:05:00+00:00,2026-02-06 00:37:00+00:00,143.6,145.29,129,-218.0099999999997,-256.3556553179997,32,2.9142194924093174,stop_loss
SMCI,short,2026-02-06 00:07:00+00:00,2026-02-06 00:58:00+00:00,29.6098,29.8895,626,-175.09220000000116,-213.58204821804117,50,2.5640601752355763,stop_loss
