sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
RIOT,short,2026-01-05 09:35:00-05:00,2026-01-05 09:35:00-05:00,14.56,14.69,343,-44.58999999999966,14.11278645,-58.702786449999664,1,0.0,-1.5537515284685774,stop_loss
AFRM,long,2026-01-05 09:35:00-05:00,2026-01-05 09:35:00-05:00,75.0,74.63713846153846,66,-23.948861538461927,4.246886677033847,-28.195748215495772,1,0.0,-1.000000000000017,stop_loss
NFLX,long,2026-01-05 09:35:00-05:00,2026-01-05 09:35:00-05:00,91.61,91.42638769230769,54,-9.915064615384978,4.246288199357538,-14.161352814742516,1,0.0,-1.0000000000000357,stop_loss
OXY,short,2026-01-05 09:35:00-05:00,2026-01-05 09:35:00-05:00,42.74,42.85060461538462,116,-12.830135384615517,4.954524581763692,-17.78465996637921,1,0.0,-1.0000000000000104,stop_loss
PYPL,long,2026-01-05 09:35:00-05:00,2026-01-05 09:35:00-05:00,58.48,58.28,85,-16.999999999999638,4.27396388,-21.273963879999638,1,0.0,-1.6904412051545081,stop_loss
FSLR,short,2026-01-05 09:35:00-05:00,2026-01-05 09:35:00-05:00,276.22,277.36503846153846,18,-20.610692307691806,4.268802230169232,-24.879494537861035,1,0.0,-0.9999999999999766,stop_loss
ENPH,short,2026-01-05 09:35:00-05:00,2026-01-05 09:36:00-05:00,34.64,34.778553076923075,144,-19.951643076922664,6.085704351677538,-26.037347428600203,2,0.0,-0.9999999999999798,stop_loss
PLTR,short,2026-01-05 09:35:00-05:00,2026-01-05 09:36:00-05:00,171.9,172.62654923076923,29,-21.06992769230746,4.28389327506677,-25.35382096737423,2,0.0,-0.9999999999999889,stop_loss
TSLA,long,2026-01-05 09:35:00-05:00,2026-01-05 09:36:00-05:00,451.1,449.3653861538462,11,-19.080752307692023,4.24106201416277,-23.32181432185479,2,0.0,-0.999999999999985,stop_loss
AAPL,short,2026-01-05 09:35:00-05:00,2026-01-05 09:36:00-05:00,268.1,268.497076923077,18,-7.1473846153851355,4.137988131138463,-11.2853727465236,2,0.0,-1.0000000000000715,stop_loss
GS,long,2026-01-05 09:36:00-05:00,2026-01-05 09:36:00-05:00,934.62,931.96,5,-13.29999999999984,3.9942746200000006,-17.294274619999843,1,0.0,-1.3207350436686491,stop_loss
CVX,short,2026-01-05 09:36:00-05:00,2026-01-05 09:36:00-05:00,162.74,163.045,30,-9.149999999999352,4.19108469,-13.341084689999352,1,0.0,-1.1083158630327645,stop_loss
TGT,long,2026-01-05 09:36:00-05:00,2026-01-05 09:36:00-05:00,101.19,100.90180230769231,49,-14.121686923076837,4.2525567783343075,-18.374243701411146,1,0.0,-0.9999999999999942,stop_loss
MSTR,long,2026-01-05 09:37:00-05:00,2026-01-05 09:37:00-05:00,165.12,164.15,30,-29.099999999999966,4.235811180000001,-33.335811179999965,1,0.0,-1.1832809255302468,stop_loss
SOFI,short,2026-01-05 09:35:00-05:00,2026-01-05 09:37:00-05:00,27.75,27.85399923076923,180,-18.719861538461302,7.538002412150769,-26.25786395061207,3,0.0,-0.9999999999999873,stop_loss
GOOG,short,2026-01-05 09:35:00-05:00,2026-01-05 09:37:00-05:00,316.711,317.30372846153847,15,-8.890926923076847,4.073452512537692,-12.96437943561454,3,0.0,-0.9999999999999897,stop_loss
WFC,long,2026-01-05 09:37:00-05:00,2026-01-05 09:37:00-05:00,96.24,96.01,51,-11.729999999999478,4.2114040500000005,-15.941404049999477,1,0.0,-1.4735161347552024,stop_loss
W,long,2026-01-05 09:37:00-05:00,2026-01-05 09:37:00-05:00,106.81,106.36330846153847,46,-20.547810769230665,4.210266902552924,-24.75807767178359,1,0.0,-0.9999999999999946,stop_loss
MARA,long,2026-01-05 09:38:00-05:00,2026-01-05 09:38:00-05:00,10.45,10.38930846153846,476,-28.88917230769244,19.473794401009844,-48.36296670870229,1,0.0,-1.0000000000000042,stop_loss
ROKU,long,2026-01-05 09:37:00-05:00,2026-01-05 09:38:00-05:00,112.35,111.95712307692307,44,-17.286584615384754,4.236785839101538,-21.523370454486294,2,0.0,-1.000000000000008,stop_loss
