sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
AFRM,short,2026-01-12 09:35:00-05:00,2026-01-12 09:35:00-05:00,81.161,81.805,61,-39.28400000000033,4.272980142800001,-43.556980142800334,1,4.640059282444427,-1.87545222995573,stop_loss
TGT,short,2026-01-12 09:35:00-05:00,2026-01-12 09:35:00-05:00,103.5,103.81438538461538,48,-15.090498461538118,4.273012515241846,-19.363510976779963,1,2.1433118618228724,-0.9999999999999781,stop_loss
C,long,2026-01-12 09:36:00-05:00,2026-01-12 09:36:00-05:00,118.13,117.435,42,-29.189999999999714,4.246481694000001,-33.43648169399971,1,3.082895107127406,-2.6766484273394133,stop_loss
WMT,short,2026-01-12 09:38:00-05:00,2026-01-12 09:38:00-05:00,116.68,116.977,42,-12.473999999999876,4.212199513200001,-16.686199513199877,1,2.414372791168268,-1.4559207822227422,stop_loss
SHOP,long,2026-01-12 09:35:00-05:00,2026-01-12 09:40:00-05:00,163.53,162.99294615384616,30,-16.111615384615163,4.200555490938462,-20.312170875553626,6,2.480121472858408,-0.9999999999999866,stop_loss
JPM,short,2026-01-13 09:37:00-05:00,2026-01-13 09:37:00-05:00,321.11,322.535,15,-21.37500000000017,4.135249965,-25.51024996500017,1,2.7056716198025423,-2.1927851745232267,stop_loss
AMD,long,2026-01-13 09:41:00-05:00,2026-01-13 09:41:00-05:00,221.24,219.77,22,-32.339999999999975,4.157913716000001,-36.49791371599998,1,3.5927799193736454,-1.869369149050641,stop_loss
SMCI,short,2026-01-13 09:43:00-05:00,2026-01-13 09:43:00-05:00,29.15,29.2933,171,-24.504299999999997,7.1745997595399995,-31.67889975954,1,3.1075829710894913,-1.192645279419203,stop_loss
C,short,2026-01-14 09:35:00-05:00,2026-01-14 09:35:00-05:00,115.785,116.08453769230769,43,-12.88012076923087,4.279608893665077,-17.15972966289595,1,2.133253955155938,-1.0000000000000087,stop_loss
MRNA,long,2026-01-14 09:35:00-05:00,2026-01-14 09:35:00-05:00,40.6155,40.389671538461535,122,-27.551072307692422,5.195241139789847,-32.74631344748227,1,2.3288600037386753,-1.0000000000000042,stop_loss
CRM,long,2026-01-14 09:35:00-05:00,2026-01-14 09:35:00-05:00,241.6,240.83,20,-15.399999999999636,4.13431108,-19.534311079999636,1,2.5774032677920387,-1.1352063671354646,stop_loss
MARA,short,2026-01-14 09:35:00-05:00,2026-01-14 09:37:00-05:00,10.95,11.010992307692307,455,-27.751500000000043,18.628844591700002,-46.38034459170004,3,2.2507498604745475,-1.0000000000000016,stop_loss
RIOT,short,2026-01-14 09:35:00-05:00,2026-01-14 09:38:00-05:00,16.97,17.059570769230767,293,-26.24423538461506,12.094460465743694,-38.33869585035875,4,2.082591789556301,-0.9999999999999873,stop_loss
RIVN,short,2026-01-14 09:38:00-05:00,2026-01-14 09:38:00-05:00,17.67,17.784269230769233,281,-32.10965384615404,11.610253660376923,-43.71990750653096,1,3.34255211324431,-1.000000000000006,stop_loss
MSTR,long,2026-01-14 09:37:00-05:00,2026-01-14 09:40:00-05:00,182.12,181.06426153846155,27,-28.504938461538245,4.203960131326154,-32.7088985928644,4,2.1274803539197333,-0.9999999999999929,stop_loss
