sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
AFRM,short,2026-01-12 09:35:00-05:00,2026-01-12 09:35:00-05:00,81.161,81.805,61,-39.28400000000033,4.272980142800001,-43.556980142800334,1,4.640059282444427,-1.87545222995573,stop_loss
RIVN,long,2026-01-12 09:35:00-05:00,2026-01-12 09:35:00-05:00,19.09,18.980153846153847,261,-28.669846153845885,10.802881422276924,-39.47272757612281,1,1.921734273107846,-0.9999999999999905,stop_loss
TGT,short,2026-01-12 09:35:00-05:00,2026-01-12 09:35:00-05:00,103.5,103.81438538461538,48,-15.090498461538118,4.273012515241846,-19.363510976779963,1,2.1433118618228724,-0.9999999999999781,stop_loss
JPM,long,2026-01-12 09:36:00-05:00,2026-01-12 09:36:00-05:00,324.5,322.845,15,-24.82499999999959,4.158992865,-28.98399286499959,1,1.7108540721458687,-2.9519672464038065,stop_loss
C,long,2026-01-12 09:36:00-05:00,2026-01-12 09:36:00-05:00,118.13,117.435,42,-29.189999999999714,4.246481694000001,-33.43648169399971,1,3.082895107127406,-2.6766484273394133,stop_loss
PYPL,short,2026-01-12 09:37:00-05:00,2026-01-12 09:37:00-05:00,57.1268,57.241066153846155,87,-9.941155384615264,4.285495863233539,-14.226651247848803,1,1.63146744385456,-0.9999999999999875,stop_loss
WMT,short,2026-01-12 09:38:00-05:00,2026-01-12 09:38:00-05:00,116.68,116.977,42,-12.473999999999876,4.212199513200001,-16.686199513199877,1,2.414372791168268,-1.4559207822227422,stop_loss
SHOP,long,2026-01-12 09:35:00-05:00,2026-01-12 09:40:00-05:00,163.53,162.99294615384616,30,-16.111615384615163,4.200555490938462,-20.312170875553626,6,2.480121472858408,-0.9999999999999866,stop_loss
INTC,short,2026-01-13 09:35:00-05:00,2026-01-13 09:35:00-05:00,45.37,45.65,109,-30.520000000000124,4.671996804000001,-35.19199680400013,1,1.7692524076917295,-1.2092420643489574,stop_loss
MARA,long,2026-01-13 09:35:00-05:00,2026-01-13 09:36:00-05:00,11.005,10.946470000000001,453,-26.514089999999683,18.546839642298004,-45.06092964229769,2,1.6066001498273113,-0.9999999999999879,stop_loss
